,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,Africa,Asia,Europe,North America,Oceania,South America
0,15.79,0.075,0.033,0.448,2.2,11.56,9.879999999999999,24.115000000000002,19.44,54.422,18.6,2.581,1.337,1803.987,1.65,597.029,9.59,2.75,38.3,37.746,0.5,64.83,0.511,0,1,0,0,0,0
1,15.941,0.025,0.033,0.448,2.2,11.49,9.82,24.115000000000002,19.44,54.422,18.6,2.581,1.337,1803.987,1.65,597.029,9.59,2.75,38.3,37.746,0.5,64.83,0.511,0,1,0,0,0,0
2,13.48,0.05,0.033,0.448,2.2,11.56,9.879999999999999,24.115000000000002,19.44,54.422,18.6,2.581,1.337,1803.987,1.65,597.029,9.59,2.75,38.3,37.746,0.5,64.83,0.511,0,1,0,0,0,0
3,15.84,0.0,0.033,0.448,2.2,11.56,9.879999999999999,24.115000000000002,19.44,54.422,18.6,2.581,1.337,1803.987,1.65,597.029,9.59,2.75,38.3,37.746,0.5,64.83,0.511,0,1,0,0,0,0
4,8.861,0.126,0.033,0.4855,2.1,11.56,9.879999999999999,24.115000000000002,19.44,54.422,18.6,2.581,1.337,1803.987,1.65,597.029,9.59,2.75,38.3,37.746,0.5,64.83,0.511,0,1,0,0,0,0
5,12.05,0.176,0.033,0.448,2.2,11.56,9.879999999999999,24.115000000000002,19.44,54.422,18.6,2.581,1.337,1803.987,1.65,597.029,9.59,2.75,38.3,37.746,0.5,64.83,0.511,0,1,0,0,0,0
6,18.401,0.251,0.033,0.439,2.3,11.63,9.94,24.115000000000002,19.44,54.422,18.6,2.581,1.337,1803.987,1.65,597.029,9.59,2.75,38.3,37.746,0.5,64.83,0.511,0,1,0,0,0,0
7,0.0,0.0,0.794,0.6065,1.6,43.53,40.26,7.15,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,97.164,2.89,78.57,0.795,0,0,1,0,0,0
8,938.762,5.569,0.841,0.6046,1.7,43.7,40.62,7.38,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,97.164,2.89,78.57,0.795,0,0,1,0,0,0
9,0.0,0.0,0.739,0.5827,1.7,43.7,40.62,7.38,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,97.164,2.89,78.57,0.795,0,0,1,0,0,0
10,672.483,3.133,0.72,0.6246,1.6,43.7,40.62,7.38,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,97.164,2.89,78.57,0.795,0,0,1,0,0,0
11,0.0,0.0,0.701,0.6413,1.6,43.7,40.62,7.38,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,97.164,2.89,78.57,0.795,0,0,1,0,0,0
12,505.407,3.133,0.682,0.6474,1.5,43.7,40.62,7.38,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,97.164,2.89,78.57,0.795,0,0,1,0,0,0
13,87.367,2.437,0.568,0.5539,1.8,43.73,40.71,7.44,61.11,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,97.164,2.89,78.57,0.795,0,0,1,0,0,0
14,31.446,0.314,0.0975,0.03735,26.7,16.59,13.94,0.74,65.74,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,1,0,0,0,0,0
15,30.594,0.247,0.0975,0.03735,26.7,16.59,13.94,0.74,65.74,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,1,0,0,0,0,0
16,21.315,0.314,0.0975,0.03735,26.7,16.59,13.94,0.74,65.74,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,1,0,0,0,0,0
17,21.741,0.291,0.0975,0.03735,26.7,16.59,13.94,0.74,65.74,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,1,0,0,0,0,0
18,17.751,0.202,0.0975,0.03735,26.7,16.59,13.94,0.74,65.74,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,1,0,0,0,0,0
19,8.472,0.134,0.0975,0.03735,26.7,16.59,13.94,0.74,58.33,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,1,0,0,0,0,0
20,11.251,0.179,0.0975,0.03735,26.7,16.59,13.94,0.74,58.33,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,1,0,0,0,0,0
