,iso_code,date,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,human_development_index,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
0,AFG,2/1/2022,15.79,0.075,0.041247919452982125,0.4469042784989265,3.100580765821361,9.828110314437453,19.44,54.422,18.6,2.581,1803.987,21.4,597.029,9.59,1.6,30.699999999999996,0.5,0.511,0,1,0,0,0,0
1,AFG,2/2/2022,15.941,0.025,0.04132796240550855,0.4462124141194409,3.113295899890388,9.82,19.44,54.422,18.6,2.581,1803.987,21.4,597.029,9.59,1.6000000000000003,30.700000000000003,0.5,0.511,0,1,0,0,0,0
2,AFG,2/3/2022,13.48,0.05,0.03887941518783808,0.4510646788232802,2.819586494295256,9.871995887350261,19.44,54.422,18.6,2.581,1803.987,21.4,597.029,9.59,1.5999999999999999,30.7,0.5,0.511,0,1,0,0,0,0
3,AFG,2/4/2022,15.84,0.0,0.0412302706179129,0.4467846193471019,3.099593462374553,9.82548961507257,19.44,54.422,18.6,2.581,1803.987,21.4,597.029,9.59,1.6,30.699999999999996,0.5,0.511,0,1,0,0,0,0
4,AFG,2/5/2022,8.861,0.126,0.033,0.4855,2.1,9.91709901714431,19.44,54.422,18.6,2.581,1803.987,31.387315259083508,597.029,9.59,1.6000000000000003,29.389005127505207,0.5,0.511,0,1,0,0,0,0
5,AFG,2/6/2022,12.05,0.176,0.033,0.448,2.2,9.895007750459238,19.44,54.422,18.6,2.581,1803.987,31.385627715143716,597.029,9.59,1.5999999999999999,29.38942002396516,0.5,0.511,0,1,0,0,0,0
6,AFG,2/7/2022,18.401,0.251,0.033,0.439,2.3,9.94,19.44,54.422,18.6,2.581,1803.987,24.753446834092678,597.029,9.59,1.6000000000000003,29.39348078698028,0.5,0.511,0,1,0,0,0,0
7,ALB,2/1/2022,0.0,0.0,0.794,0.6065,1.6,40.26,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
8,ALB,2/2/2022,938.762,5.569,0.841,0.6046,1.7,55.6956604687216,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
9,ALB,2/3/2022,0.0,0.0,0.739,0.5827,1.7,40.2284735096903,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
10,ALB,2/4/2022,672.483,3.133,0.72,0.6246,1.6,47.21724996216685,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
11,ALB,2/5/2022,0.0,0.0,0.701,0.6413,1.6,40.233133197732336,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
12,ALB,2/6/2022,505.407,3.133,0.682,0.6474,1.5,40.62,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
13,ALB,2/7/2022,87.367,2.437,0.568,0.5539,1.8,40.71,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
14,DZA,2/1/2022,31.446,0.314,1.928545663182237,0.44655144292298116,94.31048014697899,23.73261782412984,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
15,DZA,2/2/2022,30.594,0.247,1.9302588039221236,0.4465125263594306,94.32344852844881,23.46082478892537,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
16,DZA,2/3/2022,21.315,0.314,1.9482359034824124,0.4461777508832031,94.4350078413043,20.346500870481368,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
17,DZA,2/4/2022,21.741,0.291,1.9474372781836178,0.44618947556089505,94.43110074223044,20.491280155547962,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
18,DZA,2/5/2022,17.751,0.202,1.9548379632731891,0.4460935114320722,94.46307962068988,19.18694010917958,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
19,DZA,2/6/2022,8.472,0.134,1.9491414800880542,0.44528554099909584,94.73232324301847,15.610908293449034,58.33,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
20,DZA,2/7/2022,11.251,0.179,1.9538100478450426,0.44001418134695647,129.5846791404556,13.94,58.33,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
21,AND,2/1/2022,0.0,0.0,3.335,0.696,1.4,68.5332882122083,35.19,163.755,44.39873840405682,18.977141001690338,42551.20437767458,0.6858145506839525,109.135,7.97,29.0,37.8,3.52371711611442,0.868,0,0,1,0,0,0
22,AND,2/2/2022,4615.146,12.928,3.167,0.7504,1.3,76.88354407876001,35.19,163.755,43.25646541980833,18.9653970957944,44800.28308834596,0.5177520005367011,109.135,7.97,29.0,37.8,4.631980127265839,0.868,0,0,1,0,0,0
23,AND,2/3/2022,2003.775,12.928,3.012,0.8841,1.1,80.13720378033797,35.19,163.755,40.37646825047835,16.204598901246552,30750.255516545578,1.814423996843386,109.135,7.97,29.0,37.8,3.559509923988542,0.868,0,0,1,0,0,0
24,AND,2/4/2022,1667.658,0.0,2.844,0.6773,1.5,77.83142191848258,35.19,163.755,46.42021257197257,21.125942938200957,34284.42744203193,1.0122052444601257,109.135,7.97,29.0,37.8,3.7891883356506573,0.868,0,0,1,0,0,0
25,AND,2/5/2022,0.0,0.0,2.689,0.7163,1.4,68.72483164335033,35.19,163.755,44.39944843432629,18.977436847635953,42541.26080761174,0.685887616203747,109.135,7.97,29.0,37.8,3.5230423309361063,0.868,0,0,1,0,0,0
26,AND,2/6/2022,0.0,0.0,2.521,0.7641,1.3,68.79,35.19,163.755,44.38056392203213,18.96956830084672,42768.65925960519,0.687425701834327,109.135,7.97,29.0,37.8,3.53847113406417,0.868,0,0,1,0,0,0
27,AND,2/7/2022,2701.864,0.0,2.366,0.6635,1.5,66.00734282402979,35.19,163.755,44.728566917201285,19.853997780010086,36543.57405029905,0.7613240284506365,109.135,7.97,29.0,37.8,6.530598721515212,0.868,0,0,1,0,0,0
28,AGO,2/1/2022,3.242,0.0,0.064,0.0415,24.1,20.301543354531063,70.37,23.89,16.8,2.405,5819.495,6.4,276.045,3.94,17.100000000000005,53.300000000000004,0.9,0.581,1,0,0,0,0,0
29,AGO,2/2/2022,1.208,0.0,0.073,0.0263,38.0,14.38,70.37,23.89,16.8,2.405,5819.495,6.4,276.045,3.94,17.1,53.3,0.9,0.581,1,0,0,0,0,0
30,AGO,2/3/2022,1.532,0.029,0.081,0.0217,46.2,18.214854786954795,70.37,23.89,16.8,2.405,5819.495,6.400000000000001,276.045,3.94,17.099999999999998,53.300000000000004,0.9000000000000001,0.581,1,0,0,0,0,0
31,AGO,2/4/2022,0.619,0.0,0.082,0.0161,62.3,22.941498004569713,70.37,23.89,16.8,2.405,5819.495,6.4,276.045,3.94,17.099999999999998,53.29999999999999,0.9,0.581,1,0,0,0,0,0
32,AGO,2/5/2022,0.324,0.0,0.082,0.0151,66.2,23.752657055138695,70.37,23.89,16.8,2.405,5819.495,6.400000000000001,276.045,3.94,17.1,53.300000000000004,0.8999999999999999,0.581,1,0,0,0,0,0
33,AGO,2/6/2022,0.383,0.0,0.082,0.0147,67.8,24.0650308309714,70.37,23.89,16.8,2.405,5819.495,6.4,276.045,3.94,17.1,53.29999999999999,0.8999999999999999,0.581,1,0,0,0,0,0
34,AGO,2/7/2022,1.326,0.0,0.071,0.0174,57.4,21.78196851570704,70.37,23.89,16.8,2.405,5819.495,6.4,276.045,3.94,17.1,53.3,0.8999999999999999,0.581,1,0,0,0,0,0
35,ATG,2/1/2022,0.0,0.0,2.029241769448048,0.43809873747538597,130.3598275559666,61.27,32.24199050831667,231.845,32.1,6.933,21490.943,1.9726586574925657,191.511,13.17,24.968166062293186,43.05154840625677,3.8,0.778,0,0,0,1,0,0
36,ATG,2/2/2022,1063.528,0.0,1.072800000000034,0.1372000000000055,7.419999999999805,82.17087957574381,38.89,231.845,32.1,6.933,21490.943,1.5838663187743156,191.511,13.17,13.500656320843355,31.49912614555222,3.8,0.778,0,0,0,1,0,0
37,ATG,2/3/2022,0.0,0.0,2.029241769448048,0.43809873747538597,130.3598275559666,61.27,32.24199050831667,231.845,32.1,6.933,21490.943,1.9726586574925657,191.511,13.17,24.968166062293186,43.05154840625677,3.8,0.778,0,0,0,1,0,0
38,ATG,2/4/2022,0.0,0.0,2.029241769448048,0.43809873747538597,130.3598275559666,61.27,32.24199050831667,231.845,32.1,6.933,21490.943,1.9726586574925657,191.511,13.17,24.968166062293186,43.05154840625677,3.8,0.778,0,0,0,1,0,0
