,iso_code,date,new_cases_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,human_development_index,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
0,AFG,2/1/2022,15.79,0.075,0.033,0.4575,2.2,9.879999999999999,19.44,54.422,18.6,2.581,1803.987,1.65,597.029,9.59,2.75,38.3,0.5,0.511,0,1,0,0,0,0
1,AFG,2/2/2022,15.941,0.025,0.033,0.4575,2.2,9.82,19.44,54.422,18.6,2.581,1803.987,1.65,597.029,9.59,2.75,38.3,0.5,0.511,0,1,0,0,0,0
2,AFG,2/3/2022,13.48,0.05,0.033,0.4575,2.2,9.879999999999999,19.44,54.422,18.6,2.581,1803.987,1.65,597.029,9.59,2.75,38.3,0.5,0.511,0,1,0,0,0,0
3,AFG,2/4/2022,15.84,0.0,0.033,0.4575,2.2,9.879999999999999,19.44,54.422,18.6,2.581,1803.987,1.65,597.029,9.59,2.75,38.3,0.5,0.511,0,1,0,0,0,0
4,AFG,2/5/2022,8.861,0.126,0.033,0.4855,2.1,9.879999999999999,19.44,54.422,18.6,2.581,1803.987,1.65,597.029,9.59,2.75,38.3,0.5,0.511,0,1,0,0,0,0
5,AFG,2/6/2022,12.05,0.176,0.033,0.448,2.2,9.879999999999999,19.44,54.422,18.6,2.581,1803.987,1.65,597.029,9.59,2.75,38.3,0.5,0.511,0,1,0,0,0,0
6,AFG,2/7/2022,18.401,0.251,0.033,0.439,2.3,9.94,19.44,54.422,18.6,2.581,1803.987,1.65,597.029,9.59,2.75,38.3,0.5,0.511,0,1,0,0,0,0
7,ALB,2/1/2022,0.0,0.0,0.794,0.6065,1.6,40.26,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
8,ALB,2/2/2022,938.762,5.569,0.841,0.6046,1.7,40.53,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
9,ALB,2/3/2022,0.0,0.0,0.739,0.5827,1.7,40.53,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
10,ALB,2/4/2022,672.483,3.133,0.72,0.6246,1.6,40.53,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
11,ALB,2/5/2022,0.0,0.0,0.701,0.6413,1.6,40.53,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
12,ALB,2/6/2022,505.407,3.133,0.682,0.6474,1.5,40.62,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
13,ALB,2/7/2022,87.367,2.437,0.568,0.5539,1.8,40.71,61.11,104.871,38.0,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,0.795,0,0,1,0,0,0
14,DZA,2/1/2022,31.446,0.314,0.0975,0.03735,26.7,13.94,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
15,DZA,2/2/2022,30.594,0.247,0.0975,0.03735,26.7,13.94,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
16,DZA,2/3/2022,21.315,0.314,0.0975,0.03735,26.7,13.94,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
17,DZA,2/4/2022,21.741,0.291,0.0975,0.03735,26.7,13.94,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
18,DZA,2/5/2022,17.751,0.202,0.0975,0.03735,26.7,13.94,65.74,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
19,DZA,2/6/2022,8.472,0.134,0.0975,0.03735,26.7,13.94,58.33,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
20,DZA,2/7/2022,11.251,0.179,0.0975,0.03735,26.7,13.94,58.33,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,0.748,1,0,0,0,0,0
21,AND,2/1/2022,0.0,0.0,3.335,0.696,1.4,68.79,35.19,163.755,42.349999999999994,18.574,31400.84,0.5,109.135,7.97,29.0,37.8,4.51,0.868,0,0,1,0,0,0
22,AND,2/2/2022,4615.146,12.928,3.167,0.7504,1.3,68.79,35.19,163.755,42.349999999999994,18.574,31400.84,0.5,109.135,7.97,29.0,37.8,4.51,0.868,0,0,1,0,0,0
23,AND,2/3/2022,2003.775,12.928,3.012,0.8841,1.1,68.79,35.19,163.755,42.349999999999994,18.574,31400.84,0.5,109.135,7.97,29.0,37.8,4.51,0.868,0,0,1,0,0,0
24,AND,2/4/2022,1667.658,0.0,2.844,0.6773,1.5,68.79,35.19,163.755,42.349999999999994,18.574,31400.84,0.5,109.135,7.97,29.0,37.8,4.51,0.868,0,0,1,0,0,0
25,AND,2/5/2022,0.0,0.0,2.689,0.7163,1.4,68.79,35.19,163.755,42.349999999999994,18.574,31400.84,0.5,109.135,7.97,29.0,37.8,4.51,0.868,0,0,1,0,0,0
26,AND,2/6/2022,0.0,0.0,2.521,0.7641,1.3,68.79,35.19,163.755,42.349999999999994,18.574,31400.84,0.5,109.135,7.97,29.0,37.8,4.51,0.868,0,0,1,0,0,0
27,AND,2/7/2022,2701.864,0.0,2.366,0.6635,1.5,68.79,35.19,163.755,42.349999999999994,18.574,31400.84,0.5,109.135,7.97,29.0,37.8,4.51,0.868,0,0,1,0,0,0
28,AGO,2/1/2022,3.242,0.0,0.064,0.0415,24.1,14.38,70.37,23.89,16.8,2.405,5819.495,36.8,276.045,3.94,1.6,24.6,1.2000000000000002,0.581,1,0,0,0,0,0
29,AGO,2/2/2022,1.208,0.0,0.073,0.0263,38.0,14.38,70.37,23.89,16.8,2.405,5819.495,36.8,276.045,3.94,1.6,24.6,1.2000000000000002,0.581,1,0,0,0,0,0
30,AGO,2/3/2022,1.532,0.029,0.081,0.0217,46.2,14.38,70.37,23.89,16.8,2.405,5819.495,36.8,276.045,3.94,1.6,24.6,1.2000000000000002,0.581,1,0,0,0,0,0
31,AGO,2/4/2022,0.619,0.0,0.082,0.0161,62.3,14.38,70.37,23.89,16.8,2.405,5819.495,36.8,276.045,3.94,1.6,24.6,1.2000000000000002,0.581,1,0,0,0,0,0
32,AGO,2/5/2022,0.324,0.0,0.082,0.0151,66.2,14.38,70.37,23.89,16.8,2.405,5819.495,36.8,276.045,3.94,1.6,24.6,1.2000000000000002,0.581,1,0,0,0,0,0
33,AGO,2/6/2022,0.383,0.0,0.082,0.0147,67.8,14.38,70.37,23.89,16.8,2.405,5819.495,36.8,276.045,3.94,1.6,24.6,1.2000000000000002,0.581,1,0,0,0,0,0
34,AGO,2/7/2022,1.326,0.0,0.071,0.0174,57.4,14.38,70.37,23.89,16.8,2.405,5819.495,36.8,276.045,3.94,1.6,24.6,1.2000000000000002,0.581,1,0,0,0,0,0
35,ATG,2/1/2022,0.0,0.0,1.0314999999999999,0.20350000000000001,4.9,61.27,42.59,231.845,32.1,6.933,21490.943,2.2,191.511,13.17,5.3,19.75,3.8,0.778,0,0,0,1,0,0
36,ATG,2/2/2022,1063.528,0.0,1.0314999999999999,0.20350000000000001,4.9,61.27,42.59,231.845,32.1,6.933,21490.943,2.2,191.511,13.17,5.3,19.75,3.8,0.778,0,0,0,1,0,0
37,ATG,2/3/2022,0.0,0.0,1.0314999999999999,0.20350000000000001,4.9,61.27,42.59,231.845,32.1,6.933,21490.943,2.2,191.511,13.17,5.3,19.75,3.8,0.778,0,0,0,1,0,0
