,iso_code,continent,location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
56,AUS,Oceania,Australia,2/1/2022,101617.417,1556.757,151.426,2.714,4.726,0.151,6.6,tests performed,84.19,78.44,31.77,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
57,AUS,Oceania,Australia,2/2/2022,102556.916,939.499,154.605,3.18,4.553,0.159,6.3,tests performed,84.3,78.5,32.65,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
58,AUS,Oceania,Australia,2/3/2022,103804.734,1247.818,157.94,3.335,4.385,0.161,6.2,tests performed,84.39,78.56,33.47,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
59,AUS,Oceania,Australia,2/4/2022,104864.753,1060.019,161.081,3.141,4.371,0.134,7.5,tests performed,84.49,78.62,34.27,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
60,AUS,Oceania,Australia,2/5/2022,105756.051,891.299,162.865,1.784,4.197,0.119,8.4,tests performed,84.55,78.65,34.67,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
61,AUS,Oceania,Australia,2/6/2022,106735.064,979.013,164.726,1.861,4.025,0.125,8.0,tests performed,84.59,78.67,34.89,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
62,AUS,Oceania,Australia,2/7/2022,107796.518,1061.454,166.82,2.094,3.933,0.108,9.3,tests performed,84.66,78.72,35.61,55.56,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
413,FJI,Oceania,Fiji,2/1/2022,69614.652,0.0,887.142,0.0,0.323,,,tests performed,,,,81.48,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
414,FJI,Oceania,Fiji,2/2/2022,69938.055,323.403,896.003,8.86,0.317,,,tests performed,,,,81.48,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
415,FJI,Oceania,Fiji,2/3/2022,69938.055,0.0,896.003,0.0,0.311,,,tests performed,,,,81.48,902899,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
